Id;name;company_name;m2;gross_max_power;lon;lat;search;Punktgeometrie (als WKT);source;estimated_max_power_mw;estimation_method;facility_type;estimated_annual_energy_mwh
1f9abc0f-9144-11e7-a556-02028ff44134;bitel-bielefeld;BITel;;;8.5635599;52.0085579;Bielefeld Ostwestfalen-Lippe 33605 DE;POINT (8.5635599 52.0085579);cloudscene;4.91;"pending_company_or_global_fallback;global_median_fallback;annual_energy_scaled_to_20.6TWh(factor=2.427)";unknown;32796.66
1f7051a6-9144-11e7-a556-02028ff44134;eunetworks-eunetworks-bielefeld;euNetworks;0.0;;8.5329899;52.0222582;Jahnplatz Bielefeld North Rhine-Westphalia 33602 Germany;POINT (8.5329899 52.0222582);cloudscene;4.91;"pending_company_or_global_fallback;global_median_fallback;annual_energy_scaled_to_20.6TWh(factor=2.427)";unknown;32796.66
1f9a7c72-9144-11e7-a556-02028ff44134;finanz-informatik-nuremberg-2;Finanz Informatik;;;11.01908;49.42668;Nuremberg Bavaria 90449 DE;POINT (11.01908 49.42668);cloudscene;4.91;"pending_company_or_global_fallback;global_median_fallback;annual_energy_scaled_to_20.6TWh(factor=2.427)";unknown;32796.66
1f50b3ab-9144-11e7-a556-02028ff44134;hetzner-online-rz1;Hetzner Online;3000.0;1.08;11.0139777;49.4492498;Nuremberg Bavaria 90431 Germany;POINT (11.0139777 49.4492498);cloudscene;1.08;"reported_gross_max_power;annual_energy_scaled_to_20.6TWh(factor=2.427)";hosting_cloud;7863.74
1f6f1047-9144-11e7-a556-02028ff44134;noris-network-rz-nurnberg-zentrum-nbg4;noris network;0.0;;11.077251870984494;49.45147825719425;Nuremberg Bavaria 90429 Germany;POINT (11.077251870984494 49.45147825719425);cloudscene;26.73;"pending_company_or_global_fallback;company_mean_estimate;annual_energy_scaled_to_20.6TWh(factor=2.427)";hosting_cloud;194627.46
334ae5e0-7bf6-11ed-a9f5-8f4e6a905eb9;noris-network-dc-nuremberg-center-nbg5;noris network;;;11.07721572432359;49.45582822121287;;POINT (11.07721572432359 49.45582822121287);cloudscene;26.73;"pending_company_or_global_fallback;company_mean_estimate;annual_energy_scaled_to_20.6TWh(factor=2.427)";hosting_cloud;194627.46
1f78ad5b-9144-11e7-a556-02028ff44134;mti-nurnberg;MTI;0.0;;11.13086;49.4087;Nurnberg Bavaria 90459 Germany;POINT (11.13086 49.4087);cloudscene;4.91;"pending_company_or_global_fallback;global_median_fallback;annual_energy_scaled_to_20.6TWh(factor=2.427)";unknown;32796.66
1f9bcea7-9144-11e7-a556-02028ff44134;contabo-nuremberg;Contabo;1750.0;;11.17106;49.41401;Nuremberg Bavaria 90475 DE;POINT (11.17106 49.41401);cloudscene;4.25;"density_model:type=hosting_cloud;density_kW_per_m2=1.8;pue=1.35;annual_energy_scaled_to_20.6TWh(factor=2.427)";hosting_cloud;30963.46
1f95fffc-9144-11e7-a556-02028ff44134;atos-furth;Atos;;;10.9646485;49.48255820000001;Furth Bavaria 90766 DE;POINT (10.9646485 49.48255820000001);cloudscene;4.91;"pending_company_or_global_fallback;global_median_fallback;annual_energy_scaled_to_20.6TWh(factor=2.427)";enterprise;29815.15
1f6f09bd-9144-11e7-a556-02028ff44134;noris-network-rz-nurnberg-zentrum-nbg3;noris network;0.0;;11.076462068424222;49.45198720898979;Nuremberg Bavaria 90429 Germany;POINT (11.076462068424222 49.45198720898979);cloudscene;26.73;"pending_company_or_global_fallback;company_mean_estimate;annual_energy_scaled_to_20.6TWh(factor=2.427)";hosting_cloud;194627.46
