Date/Time,Frontier Compute Power(MW),Frontier Facility accessory Power(MW),Frontier Total Power(MW),Power Usage Effectiveness(100%),,
2023/1/1 00:00,11.168,0.6011,11.769,1.054,,
2023/1/1 00:10,11.168,0.6011,11.769,1.054,,
2023/1/1 00:20,11.464,0.6429,12.107,1.056,,
2023/1/1 00:30,11.043,0.6097,11.653,1.055,,
2023/1/1 00:40,11.043,0.6097,11.653,1.055,,
2023/1/1 00:50,11.281,0.6188,11.900,1.055,,
2023/1/1 01:00,11.602,0.628,12.230,1.054,,
2023/1/1 01:10,11.602,0.628,12.230,1.054,,
2023/1/1 01:20,10.389,0.584,10.973,1.056,,
2023/1/1 01:30,10.389,0.584,10.973,1.056,,
2023/1/1 01:40,11.281,0.5768,11.858,1.051,,
2023/1/1 01:50,12.037,0.6237,12.661,1.052,,
2023/1/1 02:00,12.037,0.6237,12.661,1.052,,
2023/1/1 02:10,12.237,0.6195,12.857,1.051,,
2023/1/1 02:20,10.949,0.6116,11.561,1.056,,
2023/1/1 02:30,10.708,0.6471,11.355,1.060,,
2023/1/1 02:40,10.708,0.6471,11.355,1.060,,
2023/1/1 02:50,11.145,0.6227,11.768,1.056,,
2023/1/1 03:00,10.94,0.6088,11.549,1.056,,
2023/1/1 03:10,10.94,0.6088,11.549,1.056,,
2023/1/1 03:20,11.365,0.5886,11.954,1.052,,
2023/1/1 03:30,11.164,0.5968,11.761,1.053,,
2023/1/1 03:40,11.164,0.5968,11.761,1.053,,
2023/1/1 03:50,11.037,0.6053,11.642,1.055,,
2023/1/1 04:00,11.352,0.5723,11.924,1.050,,
2023/1/1 04:10,11.352,0.5723,11.924,1.050,,
2023/1/1 04:20,11.227,0.6313,11.858,1.056,,
2023/1/1 04:30,11.227,0.6313,11.858,1.056,,
2023/1/1 04:40,10.842,0.6169,11.459,1.057,,
2023/1/1 04:50,10.748,0.5968,11.345,1.056,,
2023/1/1 05:00,10.748,0.5968,11.345,1.056,,
2023/1/1 05:10,11.929,0.5967,12.526,1.050,,
2023/1/1 05:20,11.403,0.6143,12.017,1.054,,
2023/1/1 05:30,11.403,0.6143,12.017,1.054,,
2023/1/1 05:40,10.722,0.631,11.353,1.059,,
2023/1/1 05:50,11.517,0.5839,12.101,1.051,,
2023/1/1 06:00,11.517,0.5839,12.101,1.051,,
2023/1/1 06:10,10.839,0.5949,11.434,1.055,,
2023/1/1 06:20,12.315,0.5602,12.875,1.045,,
2023/1/1 06:30,12.315,0.5602,12.875,1.045,,
2023/1/1 06:40,10.997,0.6319,11.629,1.057,,
2023/1/1 06:50,12.227,0.5647,12.792,1.046,,
2023/1/1 07:00,12.227,0.5647,12.792,1.046,,
2023/1/1 07:10,12.091,0.625,12.716,1.052,,
2023/1/1 07:20,10.732,0.5898,11.322,1.055,,
2023/1/1 07:30,10.732,0.5898,11.322,1.055,,
2023/1/1 07:40,11.63,0.5816,12.212,1.050,,
2023/1/1 07:50,11.165,0.599,11.764,1.054,,
2023/1/1 08:00,11.165,0.599,11.764,1.054,,
2023/1/1 08:10,12.051,0.5935,12.645,1.049,,
2023/1/1 08:20,10.886,0.5863,11.472,1.054,,
2023/1/1 08:30,10.66,0.5752,11.235,1.054,,
2023/1/1 08:40,10.66,0.5752,11.235,1.054,,
2023/1/1 08:50,10.88,0.5756,11.456,1.053,,
2023/1/1 09:00,11.331,0.5645,11.896,1.050,,
2023/1/1 09:10,11.331,0.5645,11.896,1.050,,
2023/1/1 09:20,11.803,0.6095,12.413,1.052,,
2023/1/1 09:30,11.214,0.6143,11.828,1.055,,
2023/1/1 09:40,11.214,0.6143,11.828,1.055,,
2023/1/1 09:50,12.092,0.5985,12.691,1.049,,
2023/1/1 10:00,10.907,0.6374,11.544,1.058,,
2023/1/1 10:10,10.907,0.6374,11.544,1.058,,
2023/1/1 10:20,11.231,0.5798,11.811,1.052,,
2023/1/1 10:30,10.902,0.5996,11.502,1.055,,
2023/1/1 10:40,10.902,0.5996,11.502,1.055,,
2023/1/1 10:50,11.531,0.5806,12.112,1.050,,
2023/1/1 11:00,11.221,0.6372,11.858,1.057,,
2023/1/1 11:10,11.221,0.6372,11.858,1.057,,
2023/1/1 11:20,9.754,0.5991,10.353,1.061,,
2023/1/1 11:30,11.24,0.5603,11.800,1.050,,
2023/1/1 11:40,11.24,0.5603,11.800,1.050,,
2023/1/1 11:50,9.386,0.5938,9.980,1.063,,
2023/1/1 12:00,9.066,0.5313,9.597,1.059,,
2023/1/1 12:10,9.066,0.5313,9.597,1.059,,
2023/1/1 12:20,9.319,0.5343,9.853,1.057,,
