name,company_name,m2,gross_max_power,lon,lat,Punktgeometrie (als WKT)
Tbilisi,BitFury,,,44.8294641,41.801126,POINT (44.8294641 41.801126)
Appolonia,Equinix MainOne,300,600,-0.10190890000001218,5.8069554,POINT (-0.10190890000001218 5.8069554)
Accra,Digital Realty Trust,1000,6000,-0.2060613,5.542260799999998,POINT (-0.2060613 5.542260799999998)
Onix Accra,"Ngoya ETIX DC (Ghana) Limited ( trading as "" ONIX"") ",400,1000,-0.110304,5.766150999999999,POINT (-0.110304 5.766150999999999)
Accra,PAIX Data Centres,846,2500,-0.2100247768432837,5.57162888555143,POINT (-0.2100247768432837 5.57162888555143)
MTN Accra,MTN,200,400,-0.18144977826534614,5.625797583665844,POINT (-0.18144977826534614 5.625797583665844)
 Etix Accra #1,Etix Everywhere,440,,-0.1046688630050312,5.759428110728162,POINT (-0.1046688630050312 5.759428110728162)
Accra,Millicom (Tigo),200,,-0.20506208769688783,5.558167072693614,POINT (-0.20506208769688783 5.558167072693614)
CLS Accra,ACE (African Coast to Europe),,,-0.20337069867241553,5.542075521258955,POINT (-0.20337069867241553 5.542075521258955)
CLS Ghana,SAT-3,,,-0.20288253663170508,5.542230362165333,POINT (-0.20288253663170508 5.542230362165333)
CLS Accra,WACS (West Africa Cable System),,,-0.16893883729551362,5.552470915045385,POINT (-0.16893883729551362 5.552470915045385)
CLS Accra,Globacom Limited,,,-0.18017841119228706,5.550796404159893,POINT (-0.18017841119228706 5.550796404159893)
Accra,Barclays,,,-0.20696899999995821,5.541325,POINT (-0.20696899999995821 5.541325)
Accra,CenterServ,,,-0.20280339999999342,5.5543841,POINT (-0.20280339999999342 5.5543841)
Accra,Equinix MainOne,,,-0.1959646000000248,5.608581300000001,POINT (-0.1959646000000248 5.608581300000001)
CLS Ghana,Equinix MainOne,,,-0.09041881361690685,5.585707338546618,POINT (-0.09041881361690685 5.585707338546618)
Accra,Stanbic Bank Ghana,,,-0.196306,5.5557169,POINT (-0.196306 5.5557169)
Papeenoo,Tahiti Nui Telecom,,,-149.5584758,-17.5516251,POINT (-149.5584758 -17.5516251)
MCV Saipan Datacenter,MCV Broadband,,,144.793731,13.444304,POINT (144.793731 13.444304)
MCV Guam Datacenter,MCV Broadband,,,144.8275828,13.5120607,POINT (144.8275828 13.5120607)
Guatemala,KIO Networks,,,-90.230759,15.783471,POINT (-90.230759 15.783471)
Europort,Sapphire Networks Limited,,,-5.3583632,36.1436421,POINT (-5.3583632 36.1436421)
Gibraltar,Gibtelecom,,,-5.3541328,36.1410325,POINT (-5.3541328 36.1410325)
Gibraltar,RMD Gibraltar,,,-5.3516999,36.1467299,POINT (-5.3516999 36.1467299)
Chania,Sparkle,,,24.0065636,35.5060465,POINT (24.0065636 35.5060465)
Methamorphosis,Sparkle,,,23.7746296,38.0726924,POINT (23.7746296 38.0726924)
