type,name,lat,lon,area_m2
node,MediaMarkt,52.5061246,13.3071532,0
node,OBI,52.5464101,13.4432988,0
node,MediaMarkt,52.5458188,13.4446923,0
node,Marschner Automobile,52.5001914,13.3054043,0
node,MediaMarkt,52.5198615,13.4147909,0
node,Artnobilis,52.5078344,13.295939,0
node,Diamant Automobile,52.4116865,13.361376,0
node,Saturn,52.5216578,13.4151425,0
node,Bauhaus,52.512395,13.304749,0
node,Bauhaus,52.5035993,13.3440523,0
node,IKEA Planning Studio,52.5698979,13.4071613,0
node,Robin Look,52.3968467,13.0462965,0
node,Velomobil,52.4562132,13.5804184,0
node,Bauhaus,52.5950747,13.3359213,0
node,Tobias Grau,52.505933,13.3252689,0
node,Saturn,52.5498107,13.3905749,0
node,Saturn,52.5342048,13.1952676,0
node,nanobike,52.4448545,13.5689429,0
node,Tobi's Back & Snack,52.5521769,13.3822487,0
node,Koch Automobile,52.5276654,13.5339681,0
node,Kavkas Mobile,52.5518067,13.3820888,0
node,Saturn,52.5629873,13.3289331,0
node,Tomi Automobile Gmbh,52.5738671,13.3606917,0
node,MediaMarkt,52.4577048,13.3197253,0
node,MediaMarkt,52.4560355,13.387244,0
node,Roller Scholz,52.4379551,13.3798471,0
node,MediaMarkt,52.5850373,13.2859722,0
node,Mando Immobilien,52.3960159,13.0943594,0
node,Roller,52.5053366,13.6117621,0
node,D&L Rollerhaus,52.4345772,13.2499589,0
node,Mobil,52.5351884,13.4323631,0
node,N&B Automobile,52.5848773,13.4293052,0
node,Martin Weber Automobile,52.429649,13.2557941,0
node,pedalum mobile,52.533263,13.398321,0
node,Motorland Automobile,52.5342403,13.1824623,0
node,POCO,52.4435835,13.4346565,0
node,Volkswagen Automobile Berlin,52.5390991,13.2292694,0
node,Tobi's Back & Snack,52.5563566,13.342003,0
node,POCO,52.5223505,13.4674713,0
node,Robinhood Store,52.4884033,13.4270259,0
node,Kast-Automobile,52.4902708,13.3051061,0
node,MediaMarkt,52.5496479,13.5959142,0
node,KIRCHHOFF Mobility GmbH & Co. KG,52.4559571,13.4509309,0
node,Robin Look,52.5387254,13.6030921,0
node,MediaMarkt,52.4567052,13.5086886,0
node,toom Baumarkt,52.3851318,13.1080603,0
node,Matrix Automobile,52.4990234,13.3455385,0
node,Robin Look,52.5643737,13.4452706,0
node,Highsnobiety,52.5171526,13.3861752,0
node,RS Mobile,52.5254177,13.3414221,0
node,mobilien,52.4927834,13.3537067,0
node,Rollerparadies,52.5187225,13.2883875,0
node,Saturn,52.4634763,13.3240187,0
node,Walter-Automobile,52.4860961,13.3278069,0
node,Motobike-Berlin,52.5518466,13.3555611,0
node,Mobile@Com,52.5506636,13.3674958,0
node,Robin Look,52.5372181,13.2052585,0
node,mobile Fahrradwerkstatt,52.474914,13.4178049,0
node,Duman Spätkauf - Lyca Mobile Partner,52.5429975,13.4405078,0
node,toom Baumarkt,52.5223479,13.4655699,0
node,MediaMarkt,52.4295568,13.4548111,0
node,Media Markt Service,52.4296216,13.4549559,0
node,Hauptstadtroller,52.5161129,13.4482187,0
node,CSB Schimmel Automobile GmbH,52.6735867,13.5682534,0
node,Berliner Automobile,52.5004406,13.7371569,0
node,König Automobile,52.5002088,13.7395494,0
node,BM Automobile,52.6020166,13.4028269,0
node,Saturn,52.4580988,13.5797715,0
node,Mobile Thaimassage,52.513461,13.4801555,0
node,Saturn,52.5105772,13.3797102,0
node,Automobile Dallgow GmbH,52.5342346,13.0811777,0
node,toom Baumarkt,52.3820324,13.2442317,0
node,Saturn,52.5444363,13.5444452,0
node,Robin Look,52.396727,13.0460589,0
node,MediaMarkt,52.3701523,13.1345102,0
node,Braune Automobile,52.3916219,13.0844118,0
node,Braune Automobile,52.3924911,13.085077,0
node,IKEA Planning Studio,52.3996265,13.0494364,0
node,nanobike,52.4449564,13.5665982,0
node,Mobilfunk-Center Potsdam,52.4032374,13.0617279,0
node,MediaMarkt,52.56475,13.5069362,0
node,Kodomo - Die Mobilitätsmanufaktur,52.5204766,13.5659695,0
node,Vobis,52.4999088,13.3051494,0
node,MediaMarkt,52.4819514,13.4314074,0
node,Robin Look,52.4593351,13.5797044,0
node,tokyobike,52.4998708,13.4094847,0
node,SR mobile,52.4747998,13.4271541,0
node,Macht-macht-mobil,52.4943619,13.437532,0
node,Automobilserice Machel,52.4568608,13.3923268,0
node,Lafi Automobile,52.5380196,13.3570791,0
node,Powercom24 - Dein Mobilfunkspezialist,52.5669592,13.3629933,0
node,Lynar Automobile,52.5404164,13.3606834,0
node,Pirates4mobile,52.4019308,13.0576412,0
node,Getränkemarkt Robin,52.5472505,13.3503121,0
node,Bauhaus,52.4686018,13.3695428,0
node,Robin Look,52.5240079,13.4620289,0
node,Robin Look,52.4123227,13.5722836,0
node,Robin Look,52.5191569,13.410661,0
node,Robin Look,52.4653809,13.3275649,0
node,Mobilecom,52.5694332,13.4051477,0
